epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,22493.7,0.59212,0.46791,1.00497,0.84766,0.8028,0.86746,0.68885,0.84598,0.6366,1.12354,0.000892,0.000892,0.000892
140,22654.1,0.5927,0.46628,1.00461,0.84682,0.80447,0.86734,0.68854,0.84608,0.63703,1.12383,0.000826,0.000826,0.000826
141,22817.6,0.52487,0.33388,0.93897,0.84656,0.80469,0.86688,0.68856,0.84642,0.6375,1.12416,0.00076,0.00076,0.00076
142,22978.7,0.50636,0.31159,0.92966,0.84746,0.80471,0.86669,0.68811,0.84673,0.63803,1.12482,0.000694,0.000694,0.000694
143,23140.1,0.50194,0.30636,0.92722,0.84677,0.80529,0.86618,0.68806,0.84682,0.6386,1.12514,0.000628,0.000628,0.000628
144,23301.8,0.49535,0.30072,0.92382,0.84575,0.80568,0.86573,0.68792,0.84744,0.63931,1.12598,0.000562,0.000562,0.000562
145,23463.5,0.49133,0.29684,0.92192,0.84586,0.80534,0.86554,0.68757,0.84775,0.63994,1.12658,0.000496,0.000496,0.000496
146,23625,0.48443,0.29362,0.91887,0.84594,0.80466,0.86539,0.6871,0.84812,0.64036,1.12726,0.00043,0.00043,0.00043
147,23786.5,0.48353,0.28998,0.91583,0.8459,0.80471,0.86515,0.6873,0.84843,0.64123,1.12801,0.000364,0.000364,0.000364
148,23947.9,0.47758,0.28504,0.91299,0.84681,0.80329,0.86487,0.68699,0.849,0.64208,1.12893,0.000298,0.000298,0.000298
149,24109.4,0.4738,0.28238,0.91245,0.84506,0.80413,0.86442,0.68691,0.84947,0.64281,1.12981,0.000232,0.000232,0.000232
150,24270.4,0.47244,0.28094,0.9113,0.8421,0.8056,0.86415,0.68672,0.84981,0.64343,1.13041,0.000166,0.000166,0.000166
